THREADS,MATRIX SORT,MATRIX TYPE,#,128,256,384,512,640,768,896,1024
4,RO,table,1,275,1683,6565,16891,30755,54390,86059,133615
4,RO,vector,1,413,2338,7487,17826,33430,59279,89022,141155
4,RC,table,1,222,2234,6638,15451,30126,51898,82270,131571
4,RC,vector,1,377,2383,6862,17065,31462,55839,84630,135046
5,RO,table,1,409,3393,8773,19696,39133,64858,95015,140821
5,RO,vector,1,518,3069,8896,20414,36310,66606,96845,148667
5,RC,table,1,370,2838,8884,19838,36375,62226,93120,133442
5,RC,vector,1,479,2880,8349,19528,33813,59999,90005,146327
6,RO,table,1,380,2870,9206,20054,36933,64104,94250,142565
6,RO,vector,1,473,2803,8493,19446,34180,61670,94961,150366
6,RC,table,1,333,2570,8697,18736,36062,62614,88912,136376
6,RC,vector,1,446,2565,7894,18032,32253,59586,89881,142295
7,RO,table,1,436,2486,8051,18872,34885,59237,93120,147417
7,RO,vector,1,446,2682,8302,19647,34770,60649,92290,146503
7,RC,table,1,354,2317,7504,17637,31998,55179,89318,133945
7,RC,vector,1,438,2456,7617,18509,32280,61013,88044,145462
8,RO,table,1,430,2325,7390,17140,33575,57535,91343,139398
8,RO,vector,1,459,2551,7518,18429,33396,59317,90328,147891
8,RC,table,1,386,2163,6943,16246,31665,53797,86325,134146
8,RC,vector,1,409,2352,7129,17364,31729,56120,88010,135378
